2023 Index,Street Name,Limit 1,Limit 2,Full Name,Facility Type,Ped_Total,Ped_Female,Ped_Male,Ped_MobAssist,Ped_Stroller,Ped_Weekday,Ped_Weekday_Female,Ped_Weekday_Male,Ped_Weekday_MobAssist,Ped_Weekday_Stroller,Ped_Weekend,Ped_Weekend_Female,Ped_Weekend_Male,Ped_Weekend_MobAssist,Ped_Weekend_Stroller,Bike_Total,Bike_Female,Bike_Male,Bike_Sidewalk,Bike_ContraFlow,Bike_Bikeshare,Bike_Helmet,Bike_Weekday_Total,Bike_Weekday_Female,Bike_Weekday_Male,Bike_Weekday_Sidewalk,Bike_Weekday_ContraFlow,Bike_Weekday_Bike_Weekdayshare,Bike_Weekday_Helmet,Bike_Weekend_Total,Bike_Weekend_Female,Bike_Weekend_Male,Bike_Weekend_Sidewalk,Bike_Weekend_ContraFlow,Bike_Weekend_Bike_Weekendshare,Bike_Weekend_Helmet,Scooter_Total,Scooter_Female,Scooter_Male,Scooter_Sidewalk,Scooter_ContraFlow,Scooter_Helmet,Scooter_Weekday_Total,Scooter_Weekday_Female,Scooter_Weekday_Male,Scooter_Weekday_Sidewalk,Scooter_Weekday_ContraFlow,Scooter_Weekday_Helmet,Scooter_Weekend_Total,Scooter_Weekend_Female,Scooter_Weekend_Male,Scooter_Weekend_Sidewalk,Scooter_Weekend_ContraFlow,Scooter_Weekend_Helmet,Other_Total,Other_Female,Other_Male,Other_Sidewalk,Other_ContraFlow,Other_Helmet,Other_Weekday_Total,Other_Weekday_Female,Other_Weekday_Male,Other_Weekday_Sidewalk,Other_Weekday_ContraFlow,Other_Weekday_Helmet,Other_Weekend_Total,Other_Weekend_Female,Other_Weekend_Male,Other_Weekend_Sidewalk,Other_Weekend_ContraFlow,Other_Weekend_Helmet
23-54,Sherman Way,Woodman Ave,Allott Ave,Sherman Way bw Woodman Ave & Allott Ave,None,288,54,234,3,1,205,52,153,0,1,83,2,81,3,0,52,2,50,38,2,0,1,31,1,30,25,1,0,0,21,1,20,13,1,0,1,1,0,1,2,0,0,1,0,1,2,0,0,0,0,0,0,0,0,2,0,2,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0
23-55,Silver Lake Blvd,Effie St,Berkeley Ave,Silver Lake Blvd bw Effie St & Berkeley Ave,Lane,775,360,415,1,9,534,253,281,1,7,241,107,134,0,2,112,9,103,4,0,0,73,73,2,71,2,0,0,44,39,7,32,2,0,0,29,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
23-56,Slauson Ave,Vermont Ave,Menlo Ave,Slauson Ave bw Vermont Ave & Menlo Ave,None,"1,565",773,792,41,30,"1,177",621,556,41,11,388,152,236,0,19,57,3,54,46,2,0,4,42,2,40,35,1,0,1,15,1,14,11,1,0,3,2,0,2,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
23-57,Soto St,1st St,Michigan Ave,Soto St bw 1st St & Michigan Ave,None,535,166,369,4,9,387,122,265,3,7,148,44,104,1,2,29,2,27,20,1,0,10,23,2,21,15,0,0,10,6,0,6,5,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,9,0,9,8,0,0,8,0,8,7,0,0,1,0,1,1,0,0
23-58,Spring St,6th St,7th St,Spring St bw 6th St & 7th St,Protected Lane,"3,379","1,033","2,346",46,26,"2,355",857,"1,498",43,18,"1,024",176,848,3,8,352,9,343,58,32,1,102,260,9,251,46,1,1,74,92,0,92,12,31,0,28,194,34,160,38,16,11,139,22,117,27,1,5,55,12,43,11,15,6,30,2,28,14,4,4,17,2,15,8,0,1,13,0,13,6,4,3
21-78,Spring St,Wilhardt St,Avenue 18,Spring St bw Wilhardt St & Avenue 18,Sharrow,141,70,71,0,3,120,65,55,0,3,21,5,16,0,0,86,8,78,4,7,0,42,60,6,54,4,5,0,37,26,2,24,0,2,0,5,6,1,5,3,3,1,5,0,5,3,3,0,1,1,0,0,0,1,3,0,3,1,0,0,3,0,3,1,0,0,0,0,0,0,0,0
23-59,Sunset Blvd,Detroit St,La Brea Av,Sunset Blvd bw Detroit St & La Brea Av,None,649,172,477,3,1,459,137,322,3,1,190,35,155,0,0,68,7,61,42,2,0,23,48,0,48,31,0,0,11,20,7,13,11,2,0,12,56,14,42,42,2,10,37,5,32,31,0,3,19,9,10,11,2,7,14,0,14,13,0,0,12,0,12,11,0,0,2,0,2,2,0,0
23-60,Sunset Blvd,Hyperion Ave,Sanborn Ave,Sunset Blvd bw Hyperion Ave & Sanborn Ave,Lane,"1,942",855,"1,087",3,18,"1,186",527,659,2,13,756,328,428,1,5,229,34,195,24,14,0,128,176,26,150,15,12,0,98,53,8,45,9,2,0,30,34,9,25,6,4,6,24,4,20,5,4,4,10,5,5,1,0,2,9,1,8,8,3,1,9,1,8,8,3,1,0,0,0,0,0,0
23-61,Temple St,Lake St,Alvarado St,Temple St bw Lake St & Alvarado St,None,445,196,249,2,9,375,179,196,2,9,70,17,53,0,0,46,1,45,31,4,0,6,34,1,33,21,4,0,6,12,0,12,10,0,0,0,20,3,17,14,0,5,10,1,9,8,0,2,10,2,8,6,0,3,10,0,10,9,2,1,8,0,8,7,2,1,2,0,2,2,0,0
23-62,Van Nuys Blvd,Remick Av,Laurel Canyon Bl,Van Nuys Blvd bw Remick Av & Laurel Canyon Bl,Protected Lane,367,111,256,1,1,312,93,219,1,1,55,18,37,0,0,50,2,48,34,1,0,5,32,2,30,23,1,0,5,18,0,18,11,0,0,0,2,0,2,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,5,0,5,5,0,0,1,0,1,1,0,0,4,0,4,4,0,0
